timestamp,ax,ay,az,gx,gy,gz,roll,pitch,yaw
2024-01-15 10:00:00.000000,0.2742,0.0254,1.0313,-0.4672,0.3387,-0.1096,-0.0047,0.0034,-0.0011
2024-01-15 10:00:00.010000,0.165,0.0847,1.0432,0.3411,-0.2322,-0.2772,-0.0013,0.0011,-0.0039
2024-01-15 10:00:00.020000,0.3005,-0.0393,1.1669,-0.6078,-0.0942,0.1,-0.0073,0.0001,-0.0029
2024-01-15 10:00:00.030000,0.3021,-0.0105,1.1053,0.4831,-0.1035,0.1833,-0.0025,-0.0009,-0.001
2024-01-15 10:00:00.040000,0.0515,0.0043,1.104,-0.0767,-0.4003,0.1454,-0.0033,-0.0049,0.0004
2024-01-15 10:00:00.050000,0.0791,-0.0333,1.1028,0.1106,-0.2341,-0.5009,-0.0022,-0.0073,-0.0046
2024-01-15 10:00:00.060000,0.1646,0.0351,1.203,0.3186,-0.3301,0.1035,0.001,-0.0106,-0.0036
2024-01-15 10:00:00.070000,0.0965,-0.105,1.1178,-0.1808,-0.3147,0.3124,-0.0008,-0.0137,-0.0004
2024-01-15 10:00:00.080000,0.0848,-0.2653,1.1002,0.1797,-0.0344,0.0251,0.001,-0.014,-0.0002
2024-01-15 10:00:00.090000,-0.0199,-0.2227,1.0994,-0.3071,0.2389,0.1517,-0.0021,-0.0117,0.0013
2024-01-15 10:00:00.100000,0.0797,-0.1072,1.0131,-0.1923,0.5639,0.391,-0.004,-0.006,0.0052
2024-01-15 10:00:00.110000,0.0324,-0.1681,0.8969,0.1313,0.1668,-0.3203,-0.0027,-0.0044,0.002
2024-01-15 10:00:00.120000,-0.063,-0.2324,0.9592,0.125,0.5053,-0.0386,-0.0014,0.0007,0.0017
2024-01-15 10:00:00.130000,-0.0149,0.0141,0.8427,0.1083,-0.3562,-0.3261,-0.0003,-0.0029,-0.0016
2024-01-15 10:00:00.140000,-0.1019,-0.0818,0.8263,0.4432,0.529,-0.0965,0.0041,0.0024,-0.0026
2024-01-15 10:00:00.150000,-0.2388,-0.1547,0.7915,-0.0231,-0.0949,-0.3,0.0039,0.0015,-0.0056
2024-01-15 10:00:00.160000,-0.1671,-0.1296,0.7842,0.4824,0.6666,0.017,0.0087,0.0081,-0.0054
2024-01-15 10:00:00.170000,-0.2951,-0.164,0.8636,0.0181,-0.2908,0.4968,0.0089,0.0052,-0.0004
2024-01-15 10:00:00.180000,-0.1644,-0.2341,0.8365,0.181,0.3213,-0.0832,0.0107,0.0085,-0.0013
2024-01-15 10:00:00.190000,-0.2493,-0.0391,0.9411,0.2199,-0.36,0.0448,0.0129,0.0049,-0.0008
2024-01-15 10:00:00.200000,-0.2646,-0.0382,1.0634,-0.1515,-0.3393,0.4489,0.0114,0.0015,0.0037
2024-01-15 10:00:00.210000,-0.3027,-0.2467,1.0857,0.0631,0.6697,-0.2211,0.012,0.0082,0.0015
2024-01-15 10:00:00.220000,-0.1427,-0.0503,1.1139,-0.4357,-0.2568,-0.1163,0.0076,0.0056,0.0003
2024-01-15 10:00:00.230000,-0.2392,-0.0198,1.1017,0.0325,0.0745,-0.015,0.008,0.0063,0.0002
2024-01-15 10:00:00.240000,-0.2419,-0.0496,1.1688,0.021,-0.3518,-0.1231,0.0082,0.0028,-0.0011
2024-01-15 10:00:00.250000,-0.2114,0.1674,1.1482,0.1613,0.0104,0.3981,0.0098,0.0029,0.0029
2024-01-15 10:00:00.260000,-0.1118,0.1822,1.2289,-0.0371,0.6095,-0.3002,0.0094,0.009,-0.0001
2024-01-15 10:00:00.270000,-0.0925,0.0158,1.1267,0.5355,0.0849,-0.0756,0.0148,0.0099,-0.0009
2024-01-15 10:00:00.280000,-0.0531,0.0499,1.0744,-0.5095,-0.1601,0.3528,0.0097,0.0083,0.0027
